1042.47204872;1042.47204872;1042.47204872;972.163712369;972.163712369;1042.47204872;1042.47204872
1042.47204872;1006.09104286;1006.09104286;972.163712369;1006.09104286;1042.47204872;1042.47204872
1017.93257893;1017.93257893;1017.93257893;994.521842186;1017.93257893;1042.47204872;1042.47104247
1006.09104286;1023.95849555;941.507536637;1006.09033993;1023.95703931;1042.47204872;1042.46902998
999.118000831;1027.60782603;960.104971477;1013.16210143;1027.60782603;1042.47204872;1042.47144497
1006.09151148;1030.0571634;972.917753317;1006.09104286;1030.05568977;1042.47154559;983.984737303
1011.13248845;1031.81385095;982.277683664;1011.13167703;1031.81047116;1042.47161747;946.070952318
1014.94613913;1033.13159765;989.420076158;972.728804898;1033.13159765;1042.47167138;957.13338551
970.269330595;1034.15884105;995.045960989;980.011100743;1034.16082158;1042.47037164;965.919728493
1020.33528217;1034.98508328;999.595163959;979.220665473;1034.98597594;1042.47053935;941.716634326
1022.30799971;1028.93997616;997.037589828;984.65063924;1035.66370744;1042.47149986;950.064969089
1023.95995179;1030.05495295;972.91797243;989.221832767;1024.47280558;1042.47053935;931.711580053
1019.78002822;1031.00028397;977.934005754;993.12684076;1025.83481692;1042.47135209;939.389693771
1021.36869485;1031.80983745;982.27883232;991.599148405;1027.00535021;1042.46773624;946.074148937
1022.74819258;1032.51445377;986.076238302;994.834414417;999.429399844;1042.47265247;951.939735868
1023.95776743;1033.1299299;989.421435815;976.847526481;1002.01516383;1019.74300352;957.136884533
1025.03085142;1033.67360675;992.387801803;980.477130291;1004.30785712;1016.81482755;943.505598133
1025.98334487;1034.16065654;972.099542993;983.726163427;1013.49052863;1018.20753049;948.508572732
1008.19898664;1034.59369736;975.561889418;986.652922765;1014.97503666;1019.45687094;936.951903684
1006.33361217;1034.98374429;975.392473547;989.301936188;1016.31582127;956.071184811;941.717127009
1007.997984;1035.33973318;978.390764612;991.709648404;1011.36068413;959.859829993;946.070478747
1006.31296206;1019.24717014;981.132524246;955.540924841;1002.75656768;963.329031599;950.066564638
1007.83322551;1020.23578536;983.650493298;983.966690588;984.302397668;963.71070522;953.741465569
1009.22966224;1021.14249535;985.967761593;962.224984907;986.594645258;1003.63877136;957.135188034
1010.51894077;1021.97925359;988.109312118;999.497030883;988.716981522;991.49899776;939.373070763
998.420767152;1022.75174635;990.095449009;998.418211148;990.679987502;993.367467958;963.200988557
999.985082527;1023.46913709;991.9405848;997.420354907;992.506575356;995.103823011;965.922608134
1001.44305162;1011.47837298;956.499757459;947.154866116;982.276535012;996.719625637;968.461773334
983.611654291;1012.51866831;957.031310874;950.14998081;944.214299746;998.230626653;959.847483545
927.501899876;1013.48678775;959.762490776;952.962562072;975.1080203;999.645033453;919.999407111
992.033949606;1014.39689151;993.743334974;945.636974202;946.688862392;1000.97182166;948.12676149
967.74965862;996.96574514;995.197309097;948.389421539;928.901762349;1002.21888826;941.24814079
969.856484915;996.195422348;963.981809631;949.092605953;931.17007163;992.869807439;929.695459001
971.847005556;997.901390548;997.860469757;925.552811749;937.169306143;1002.44509791;961.767540157
990.855426723;999.122120556;999.081479376;953.976032034;936.885726412;967.571384307;963.900547496
